label,task,source_file,step,level,success,return,length
Linear PPO,balance,group11_ppo_train.log,20000.0,easy,1.0,1800.0,1000.0
Linear PPO,balance,group11_ppo_train.log,40000.0,medium,1.0,1799.989,1000.0
Linear PPO,balance,group11_ppo_train.log,60000.0,hard,1.0,1799.733,1000.0
Linear PPO,balance,group11_ppo_train.log,80000.0,hard,1.0,1799.678,1000.0
Linear PPO,balance,group11_ppo_train.log,100000.0,hard,1.0,1799.961,1000.0
Linear PPO,balance,group11_ppo_train.log,120000.0,hard,1.0,1799.727,1000.0
Linear PPO,balance,group11_ppo_train.log,140000.0,hard,1.0,1799.678,1000.0
Linear PPO,balance,group11_ppo_train.log,160000.0,hard,1.0,1799.929,1000.0
Linear PPO,balance,group11_ppo_train.log,180000.0,hard,1.0,1799.924,1000.0
Linear PPO,balance,group11_ppo_train.log,200000.0,hard,1.0,1799.894,1000.0
MLP PPO,balance,group11_ppo_mlp_train.log,20000.0,easy,1.0,1800.0,1000.0
MLP PPO,balance,group11_ppo_mlp_train.log,40000.0,medium,1.0,1799.992,1000.0
MLP PPO,balance,group11_ppo_mlp_train.log,60000.0,hard,0.95,1713.427,952.95
MLP PPO,balance,group11_ppo_mlp_train.log,80000.0,hard,0.9,1627.137,906.15
MLP PPO,balance,group11_ppo_mlp_train.log,100000.0,hard,0.65,1292.871,726.85
MLP PPO,balance,group11_ppo_mlp_train.log,120000.0,hard,0.9,1636.183,911.8
MLP PPO,balance,group11_ppo_mlp_train.log,140000.0,hard,0.85,1553.731,867.6
MLP PPO,balance,group11_ppo_mlp_train.log,160000.0,hard,0.95,1716.872,955.7
MLP PPO,balance,group11_ppo_mlp_train.log,180000.0,hard,0.75,1387.458,779.0
MLP PPO,balance,group11_ppo_mlp_train.log,200000.0,hard,0.85,1549.342,864.5
MLP PPO,balance,group11_ppo_mlp_train.log,220000.0,hard,0.8,1451.884,811.35
MLP PPO,balance,group11_ppo_mlp_train.log,240000.0,hard,0.8,1466.04,818.6
MLP PPO,balance,group11_ppo_mlp_train.log,260000.0,hard,0.85,1554.297,866.05
MLP PPO,balance,group11_ppo_mlp_train.log,280000.0,hard,0.85,1544.629,862.45
MLP PPO,balance,group11_ppo_mlp_train.log,300000.0,hard,0.85,1549.022,864.25
MLP PPO,balance,group11_ppo_mlp_train.log,320000.0,hard,0.85,1547.457,863.05
MLP PPO,balance,group11_ppo_mlp_train.log,340000.0,hard,0.75,1377.805,770.45
MLP PPO,balance,group11_ppo_mlp_train.log,360000.0,hard,0.65,1239.06,697.5
MLP PPO,balance,group11_ppo_mlp_train.log,380000.0,hard,0.7,1323.522,742.9
MLP PPO,balance,group11_ppo_mlp_train.log,400000.0,hard,0.6,1147.756,648.35
MLP PPO,balance,group11_ppo_mlp_train.log,420000.0,hard,0.55,1078.947,611.4
MLP PPO,balance,group11_ppo_mlp_train.log,440000.0,hard,0.85,1562.148,871.45
MLP PPO,balance,group11_ppo_mlp_train.log,460000.0,hard,0.75,1394.122,780.05
MLP PPO,balance,group11_ppo_mlp_train.log,480000.0,hard,0.95,1718.374,956.2
MLP PPO,balance,group11_ppo_mlp_train.log,500000.0,hard,0.9,1634.057,909.75
MLP PPO,balance,group11_ppo_mlp_train.log,520000.0,hard,0.85,1560.423,870.1
MLP PPO,balance,group11_ppo_mlp_train.log,540000.0,hard,1.0,1799.853,1000.0
MLP PPO,balance,group11_ppo_mlp_train.log,560000.0,hard,0.85,1553.004,866.85
MLP PPO,balance,group11_ppo_mlp_train.log,580000.0,hard,0.85,1552.02,865.25
MLP PPO,balance,group11_ppo_mlp_train.log,600000.0,hard,0.85,1546.149,863.55
NAF,balance,group11_naf_train.log,20000.0,easy,1.0,1800.0,1000.0
